"BehaviorSpace results (NetLogo 6.1.1)"
"ethnicity bias learning - bjps revisions - varying population sizes.nlogo"
"sensitivity_to_random_pairing_majority_minority"
"08/06/2022 14:22:06:914 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","25","0","9"
"[run number]","spatial?","random-pairing","mr_learning_strategy","conditional_strategies?","initial_proportion_ethnic_learning","plays_per_learn","mr_strategy","shift","[step]","success?","collapse?"
"343","false","0.2","0","false","0.5","1","0","0.1","402","true","false"
"347","false","0.2","0","false","0.5","1","0","0.1","26","false","true"
"348","false","0.2","0","false","0.5","1","0","0.1","144","true","false"
"349","false","0.2","0","false","0.5","1","0","0.1","24","false","true"
"345","false","0.2","0","false","0.5","1","0","0.1","429","true","false"
"351","false","0.2","0","false","0.5","1","0","0.1","19","false","true"
"352","false","0.2","0","false","0.5","1","0","0.1","118","false","true"
"353","false","0.2","0","false","0.5","1","0","0.1","36","false","true"
"346","false","0.2","0","false","0.5","1","0","0.1","426","true","false"
"355","false","0.2","0","false","0.5","1","0","0.1","36","false","true"
"356","false","0.2","0","false","0.5","1","0","0.1","41","false","true"
"354","false","0.2","0","false","0.5","1","0","0.1","323","true","false"
"350","false","0.2","0","false","0.5","1","0","0.1","851","true","false"
"359","false","0.2","0","false","0.5","1","0","0.1","60","false","true"
"360","false","0.2","0","false","0.5","1","0","0.1","49","false","true"
"357","false","0.2","0","false","0.5","1","0","0.1","698","true","false"
"358","false","0.2","0","false","0.5","1","0","0.1","493","true","false"
"363","false","0.2","0","false","0.5","1","0","0.1","53","false","true"
"362","false","0.2","0","false","0.5","1","0","0.1","165","true","false"
"344","false","0.2","0","false","0.5","1","0","0.1","1262","true","false"
"361","false","0.2","0","false","0.5","1","0","0.1","350","true","false"
"366","false","0.2","0","false","0.5","1","0","0.1","42","false","true"
"367","false","0.2","0","false","0.5","1","0","0.1","52","false","true"
"368","false","0.2","0","false","0.5","1","0","0.1","56","false","true"
"369","false","0.2","0","false","0.5","1","0","0.1","51","false","true"
"371","false","0.2","0","false","0.5","1","0","0.1","23","false","true"
"364","false","0.2","0","false","0.5","1","0","0.1","481","true","false"
"373","false","0.2","0","false","0.5","1","0","0.1","45","false","true"
